months,ounces
1/1/2019,0
2/1/2019,0
3/1/2019,5
4/1/2019,80
5/1/2019,162
6/1/2019,175
7/1/2019,285
8/1/2019,230
9/1/2019,86
10/1/2019,165
11/1/2019,200
12/1/2019,156
1/1/2020,188
2/1/2020,168
3/1/2020,150
4/1/2020,121
5/1/2020,150
6/1/2020,150
7/1/2020,135
8/1/2020,199
9/1/2020,268
10/1/2020,400
11/1/2020,350
12/1/2020,320
1/1/2021,320
2/1/2021,300
3/1/2021,288
4/1/2021,350
5/1/2021,300
6/1/2021,310
7/1/2021,220
8/1/2021,200
9/1/2021,250
10/1/2021,180
11/1/2021,88
12/1/2021,100
1/1/2022,110
2/1/2022,88
3/1/2022,55
4/1/2022,16
5/1/2022,10
6/1/2022,5
7/1/2022,0
8/1/2022,0
9/1/2022,0
10/1/2022,0
11/1/2022,0
12/1/2022,0
1/1/2023,0
2/1/2023,0
3/1/2023,0
4/1/2023,0
5/1/2023,0
6/1/2023,0
7/1/2023,0
8/1/2023,0
9/1/2023,0
10/1/2023,0
11/1/2023,0
12/1/2023,0
1/1/2024,0
2/1/2024,0
3/1/2024,0
4/1/2024,0
5/1/2024,0
6/1/2024,0
7/1/2024,0
8/1/2024,0
9/1/2024,0
10/1/2024,0
11/1/2024,0
12/1/2024,0
1/1/2025,0
2/1/2025,0
3/1/2025,0
4/1/2025,0
5/1/2025,0
6/1/2025,0
7/1/2025,0
8/1/2025,0
9/1/2025,0
10/1/2025,0
11/1/2025,0
12/1/2025,0
1/1/2026,0
2/1/2026,0
3/1/2026,0
4/1/2026,0
5/1/2026,0
6/1/2026,0
7/1/2026,0
8/1/2026,0
9/1/2026,0
10/1/2026,0
11/1/2026,0
12/1/2026,0
1/1/2027,0
2/1/2027,0
3/1/2027,0
4/1/2027,0
5/1/2027,0
6/1/2027,0
7/1/2027,0
8/1/2027,0
9/1/2027,0
10/1/2027,0
11/1/2027,0
12/1/2027,0
1/1/2028,0
2/1/2028,0
3/1/2028,0
4/1/2028,0
5/1/2028,0
6/1/2028,0
7/1/2028,0
8/1/2028,0
9/1/2028,0
10/1/2028,0
11/1/2028,0
12/1/2028,0
1/1/2029,0
2/1/2029,0
3/1/2029,0
4/1/2029,0
5/1/2029,0
6/1/2029,0
7/1/2029,0
8/1/2029,0
9/1/2029,0
10/1/2029,0
11/1/2029,0
12/1/2029,0
1/1/2030,0
2/1/2030,0
3/1/2030,0
4/1/2030,0
5/1/2030,0
6/1/2030,0
7/1/2030,0
8/1/2030,0
9/1/2030,0
10/1/2030,0
11/1/2030,0
12/1/2030,0
1/1/2031,0
2/1/2031,0
3/1/2031,0
4/1/2031,0
5/1/2031,0
6/1/2031,0
7/1/2031,0
8/1/2031,0
9/1/2031,0
10/1/2031,0
11/1/2031,0
12/1/2031,0
